category_number,drxfcsd,level,parent,max_level_by_num,max_level_skips,ancestors,branch
11513380,"chocolate milk, made from dry mix, ns as to type of milk (nesquik)",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513380"
11513381,"chocolate milk, made from dry mix with whole milk (nesquik)",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11513381"
11513382,"chocolate milk, made from dry mix with reduced fat milk (nesquik)",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513382"
11513383,"chocolate milk, made from dry mix with low fat milk (nesquik)",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11513383"
11513384,"chocolate milk, made from dry mix with fat free milk (nesquik)",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11513384"
11513385,"chocolate milk, made from dry mix with non-dairy milk (nesquik)",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11513385"
11513390,"chocolate milk, made from no sugar added dry mix, ns as to type of milk (nesquik)",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513390"
11513391,"chocolate milk, made from no sugar added dry mix with whole milk (nesquik)",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11513391"
11513392,"chocolate milk, made from no sugar added dry mix with reduced fat milk (nesquik)",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513392"
11513393,"chocolate milk, made from no sugar added dry mix with low fat milk (nesquik)",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11513393"
11513394,"chocolate milk, made from no sugar added dry mix with fat free milk  (nesquik)",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11513394"
11513395,"chocolate milk, made from no sugar added dry mix with non-dairy milk (nesquik)",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11513395"
11513400,"chocolate milk, made from syrup, ns as to type of milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513400"
11513500,"chocolate milk, made from syrup with whole milk",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11513500"
11513550,"chocolate milk, made from syrup with reduced fat milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513550"
11513600,"chocolate milk, made from syrup with low fat milk",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11513600"
11513700,"chocolate milk, made from syrup with fat free milk",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11513700"
11513750,"chocolate milk, made from syrup with non-dairy milk",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11513750"
11513800,"chocolate milk, made from light syrup, ns as to type of milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513800"
11513801,"chocolate milk, made from light syrup with whole milk",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11513801"
11513802,"chocolate milk, made from light syrup with reduced fat milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513802"
11513803,"chocolate milk, made from light syrup with low fat milk",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11513803"
11513804,"chocolate milk, made from light syrup with fat free milk",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11513804"
11513805,"chocolate milk, made from light syrup with non-dairy milk",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11513805"
11513850,"chocolate milk, made from sugar free syrup, ns as to type of milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513850"
11513851,"chocolate milk, made from sugar free syrup with whole milk",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11513851"
11513852,"chocolate milk, made from sugar free syrup with reduced fat milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513852"
11513853,"chocolate milk, made from sugar free syrup with low fat milk",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11513853"
11513854,"chocolate milk, made from sugar free syrup with fat free milk",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11513854"
11513855,"chocolate milk, made from sugar free syrup with non-dairy milk",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11513855"
11514100,"hot chocolate / cocoa, made with dry mix and water",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11514100"
11514110,"hot chocolate / cocoa, made with dry mix and whole milk",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11514110"
11514120,"hot chocolate / cocoa, made with dry mix and reduced fat milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11514120"
11514130,"hot chocolate / cocoa, made with dry mix and low fat milk",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11514130"
11514140,"hot chocolate / cocoa, made with dry mix and fat free milk",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11514140"
11514150,"hot chocolate / cocoa, made with dry mix and non-dairy milk",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11514150"
11514310,"hot chocolate / cocoa, made with no sugar added dry mix and water",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11514310"
11514320,"hot chocolate / cocoa, made with no sugar added dry mix and whole milk",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11514320"
11514330,"hot chocolate / cocoa, made with no sugar added dry mix and reduced fat milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11514330"
